Portuguese,English
que ,that
não ,not
de ,from
você ,you
eu ,I
um ,a
para ,to
se ,if
está ,are
uma ,a
com ,with
me ,me
por ,by
ele ,he
isso ,this
em ,at
do ,from
bem ,well
mas ,but
como ,as
da ,from
os ,the
no ,on
aqui ,here
na ,on
sim ,yes
ela ,she
mais ,more
tem ,has
meu ,my
seu ,her
vai ,goes to
as ,the
muito ,very
vamos ,go to
foi ,was
estou ,I am
sua ,your
tudo ,everything
só ,only
minha ,my
agora ,now
pode ,can
te ,you
então ,so
vou ,I'm going to
sei ,know
fazer ,do
quando ,when
ser ,be
nós ,we
tenho ,I have
quer ,either
nos ,nos
certo ,right
eles ,they
já ,already
sabe ,know
quem ,who
estava ,was
nada ,nothing
era ,was
onde ,where
lá ,there
quero ,I want to
ao ,to
ou ,or
sou ,I am
disse ,said
bom ,good
há ,there is
posso ,I can
são ,are
ter ,have
dizer ,say
mim ,me
porque ,because
pra ,to
acho ,I think
coisa ,thing
mesmo ,even
estão ,are
sobre ,about
todos ,all
até ,until
lo ,lo
cara ,face
nunca ,never
quê ,what
assim ,so
tempo ,time
algo ,something
esse ,this
isto ,this
essa ,this
casa ,house
ver ,see
vocês ,you
favor ,please
temos ,we have